hospital_name,state,district,city,hospital_type,specialization,rating,cost_level,latitude,longitude,source_note
Kalyani Hospital Ballari,Karnataka,Ballari,Ballari,Trust,Multi-speciality,4.0,Low,15.1448,76.9322,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sandur Super Speciality Hospital,Karnataka,Ballari,Ballari,Trust,Multi-speciality,3.9,Low,15.1502,76.925,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Ballari City Care Hospital,Karnataka,Ballari,Ballari,Trust,Multi-speciality,4.2,Low,15.125,76.9178,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hospet General Hospital,Karnataka,Ballari,Ballari,Trust,Multi-speciality,3.9,Low,15.1304,76.9106,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bellary Heart Centre,Karnataka,Ballari,Ballari,Trust,Cardiology,4.4,High,15.1358,76.9376,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vijaya Trauma and Orthopaedic Centre Ballari,Karnataka,Ballari,Ballari,Trust,Orthopedics & Trauma,4.4,High,15.1412,76.9304,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Raichur Institute of Medical Sciences,Karnataka,Raichur,Raichur,Government,Multi-speciality,3.8,Low,16.2148,77.3481,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District Hospital Raichur,Karnataka,Raichur,Raichur,Government,General Medicine,4.0,Low,16.2202,77.3409,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Navodaya Medical College Hospital,Karnataka,Raichur,Raichur,Government,Multi-speciality,3.9,Low,16.195,77.3337,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Raichur Heart and Diabetes Centre,Karnataka,Raichur,Raichur,Trust,Cardiology,4.0,Medium,16.2004,77.3607,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Krishna Hospital Raichur,Karnataka,Raichur,Raichur,Trust,Multi-speciality,3.8,Low,16.2058,77.3535,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Raichur City Multispeciality Hospital,Karnataka,Raichur,Raichur,Trust,Multi-speciality,4.1,Low,16.2112,77.3463,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Laxmi Hospital Raichur,Karnataka,Raichur,Raichur,Trust,Multi-speciality,3.9,Low,16.2166,77.3391,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manvi Community Hospital,Karnataka,Raichur,Raichur,Private,General Medicine,4.3,Medium,16.222,77.3319,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shifa Hospital Raichur,Karnataka,Raichur,Raichur,Trust,Multi-speciality,4.1,Low,16.1968,77.3589,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
RIMS Teaching Hospital Raichur,Karnataka,Raichur,Raichur,Government,Multi-speciality,4.0,Low,16.2022,77.3517,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
BLDE University Shri B M Patil Medical College Hospital,Karnataka,Vijayapura,Vijayapura,Government,Multi-speciality,3.8,Low,16.8302,75.7082,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District Hospital Vijayapura,Karnataka,Vijayapura,Vijayapura,Government,General Medicine,3.7,Low,16.8356,75.701,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KLE Hospital Vijayapura,Karnataka,Vijayapura,Vijayapura,Private,Multi-speciality,4.7,High,16.841,75.6938,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vijayapura Heart Centre,Karnataka,Vijayapura,Vijayapura,Trust,Cardiology,4.2,High,16.8158,75.7208,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Al Ameen Medical College Hospital Vijayapura,Karnataka,Vijayapura,Vijayapura,Government,Multi-speciality,3.9,Low,16.8212,75.7136,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bapuji Multispeciality Hospital Vijayapura,Karnataka,Vijayapura,Vijayapura,Private,Multi-speciality,4.5,Medium,16.8266,75.7064,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
City Care Hospital Vijayapura,Karnataka,Vijayapura,Vijayapura,Trust,Multi-speciality,3.8,Low,16.832,75.6992,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vijayapura Trauma and Ortho Centre,Karnataka,Vijayapura,Vijayapura,Trust,Orthopedics & Trauma,4.3,High,16.8374,75.7262,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bijapur Eye and Dental Hospital,Karnataka,Vijayapura,Vijayapura,Trust,Ophthalmology,3.9,Low,16.8428,75.719,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vijayapura Women's Care Hospital,Karnataka,Vijayapura,Vijayapura,Trust,Obstetrics & Gynaecology,4.1,Low,16.8176,75.7118,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
S Nijalingappa Medical College Hospital,Karnataka,Bagalkot,Bagalkot,Government,Multi-speciality,3.9,Low,16.1745,75.6897,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District Hospital Bagalkot,Karnataka,Bagalkot,Bagalkot,Government,General Medicine,4.1,Low,16.1799,75.6825,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bagalkot City Hospital,Karnataka,Bagalkot,Bagalkot,Trust,Multi-speciality,3.8,Low,16.1853,75.7095,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KLE Hospital Bagalkot,Karnataka,Bagalkot,Bagalkot,Private,Multi-speciality,4.7,High,16.1907,75.7023,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Venkatesh Hospital Bagalkot,Karnataka,Bagalkot,Bagalkot,Trust,Multi-speciality,3.9,Low,16.1961,75.6951,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bilagi Community Hospital,Karnataka,Bagalkot,Bagalkot,Private,General Medicine,4.1,Medium,16.1709,75.6879,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Mudhol Multispeciality Hospital,Karnataka,Bagalkot,Bagalkot,Trust,Multi-speciality,4.0,Low,16.1763,75.6807,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Badami Care Hospital,Karnataka,Bagalkot,Bagalkot,Trust,Multi-speciality,4.0,Low,16.1817,75.7077,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Mahalingpur Heart Centre,Karnataka,Bagalkot,Bagalkot,Trust,Cardiology,4.4,High,16.1871,75.7005,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bagalkot Eye Clinic,Karnataka,Bagalkot,Bagalkot,Trust,Ophthalmology,4.1,Low,16.1925,75.6933,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Mandya Institute of Medical Sciences,Karnataka,Mandya,Mandya,Government,Multi-speciality,4.1,Low,12.5076,76.888,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District Hospital Mandya,Karnataka,Mandya,Mandya,Government,General Medicine,4.0,Low,12.513,76.8808,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Cauvery Heart Centre Mandya,Karnataka,Mandya,Mandya,Trust,Cardiology,4.2,High,12.5184,76.9078,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sushrutha Hospital Mandya,Karnataka,Mandya,Mandya,Trust,Multi-speciality,4.0,Low,12.5238,76.9006,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Adichunchanagiri Hospital and Research Centre,Karnataka,Mandya,Mandya,Private,Multi-speciality,4.5,Medium,12.5292,76.8934,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Mandya City Hospital,Karnataka,Mandya,Mandya,Trust,Multi-speciality,4.2,Low,12.5346,76.8862,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Melukote Community Hospital,Karnataka,Mandya,Mandya,Private,General Medicine,4.3,Medium,12.5094,76.9132,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Maddur Multispeciality Hospital,Karnataka,Mandya,Mandya,Trust,Multi-speciality,4.1,Low,12.5148,76.906,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Malavalli General Hospital,Karnataka,Mandya,Mandya,Trust,Multi-speciality,3.8,Low,12.5202,76.8988,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Mandya Women's Hospital,Karnataka,Mandya,Mandya,Trust,Obstetrics & Gynaecology,4.2,Low,12.5256,76.8916,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Malnad College of Medical Sciences Hospital,Karnataka,Chikkamagaluru,Chikkamagaluru,Trust,Multi-speciality,4.0,Low,13.3251,75.7628,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District Hospital Chikkamagaluru,Karnataka,Chikkamagaluru,Chikkamagaluru,Government,General Medicine,4.0,Low,13.3305,75.7898,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Chikmagalur City Hospital,Karnataka,Chikkamagaluru,Chikkamagaluru,Trust,Multi-speciality,3.9,Low,13.3053,75.7826,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kuppalli Community Hospital,Karnataka,Chikkamagaluru,Chikkamagaluru,Private,General Medicine,4.4,Medium,13.3107,75.7754,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Koppa Multispeciality Clinic,Karnataka,Chikkamagaluru,Chikkamagaluru,Trust,Multi-speciality,4.0,Low,13.3161,75.7682,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sringeri Hospital and Research Centre,Karnataka,Chikkamagaluru,Chikkamagaluru,Private,Multi-speciality,4.2,Medium,13.3215,75.761,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Tarikere Trauma Care Centre,Karnataka,Chikkamagaluru,Chikkamagaluru,Trust,Orthopedics & Trauma,4.4,High,13.3269,75.788,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kadur General Hospital,Karnataka,Chikkamagaluru,Chikkamagaluru,Trust,Multi-speciality,4.0,Low,13.3017,75.7808,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Charmadi Health Centre,Karnataka,Chikkamagaluru,Chikkamagaluru,Trust,Neurology,4.3,Medium,13.3071,75.7736,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Coffee County Hospital,Karnataka,Chikkamagaluru,Chikkamagaluru,Trust,Multi-speciality,4.0,Low,13.3125,75.7664,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
RL Jalappa Hospital and Research Centre,Karnataka,Kolar,Kolar,Private,Multi-speciality,4.2,Medium,13.1375,78.1158,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sri Devaraj Urs Medical College Hospital,Karnataka,Kolar,Kolar,Government,Multi-speciality,3.9,Low,13.1429,78.1428,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District Hospital Kolar,Karnataka,Kolar,Kolar,Government,General Medicine,3.7,Low,13.1483,78.1356,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kolar Heart and Diabetes Centre,Karnataka,Kolar,Kolar,Trust,Cardiology,4.0,Medium,13.1231,78.1284,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bangarpet Community Hospital,Karnataka,Kolar,Kolar,Private,General Medicine,4.3,Medium,13.1285,78.1212,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Mulbagal Multispeciality Hospital,Karnataka,Kolar,Kolar,Trust,Multi-speciality,4.0,Low,13.1339,78.1482,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KGF District Hospital,Karnataka,Kolar,Kolar,Government,General Medicine,4.0,Low,13.1393,78.141,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kolar City Hospital,Karnataka,Kolar,Kolar,Trust,Multi-speciality,4.0,Low,13.1447,78.1338,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Malur Eye Care Centre,Karnataka,Kolar,Kolar,Trust,Ophthalmology,4.0,Low,13.1501,78.1266,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Srinivaspur General Hospital,Karnataka,Kolar,Kolar,Trust,Multi-speciality,3.9,Low,13.1249,78.1194,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
